eta,avg_obsLagLarvae,avg_predLagLarvae,avg_obsLagAdults,avg_predLagAdults
0,0.021616377999087368,0,0.006105066227894737,0
0.01,0.32816474210526314,0.22394990105263157,0.30837845328421054,0.17414912347368422
0.1,0.9054351157894737,0.8472220157894736,1.0466289768421053,0.9279701389473685
1,NA,NA,NA,NA
0.11,0.9746359557894737,0.9712061863157895,0.9562930463157895,0.8644726873684211
0.12,0.9523542336842106,0.9690060263157895,1.0878164357894737,0.9885280589473684
0.13,1.0932305757894736,1.046816567368421,0.915908627368421,0.8876815442105264
0.14,1.0768124768421052,1.1183230126315788,1.2998465894736841,1.203852385263158
0.15,1.190318402105263,1.1287793747368422,1.1813622968421054,1.1931143294736841
0.16,1.3562975431578947,1.401293372631579,1.226694834736842,1.1687778515789473
0.17,1.1941455568421053,1.2320138831578948,1.474762352631579,1.37426664
0.18,1.4449904315789475,1.3944683147368422,1.2958462105263158,1.3194747526315789
0.19,1.5339707894736843,1.5769613168421053,1.4562070568421053,1.4402990778947369
0.02,0.44465047789473683,0.38987368,0.43074646252631577,0.29279576842105265
0.2,1.5285690442105264,1.4879074684210527,1.4110439357894737,1.520319405263158
0.21,1.4536071,1.4348240494736841,1.6241838021052633,1.678319894736842
0.22,1.6144517884210525,1.6028835,1.6101881178947368,1.685101207368421
0.23,1.684402252631579,1.7514809610526316,1.607695312631579,1.6783856589473685
0.24,1.6701393284210526,1.6702591905263158,1.6533849463157895,1.74868752
0.25,1.7993524736842106,1.8973820389473683,1.6414410536842106,1.7226446473684212
0.26,1.8767996105263158,1.9309667557894736,1.8289896736842106,1.9173282978947368
0.27,1.953282607368421,1.9893789147368421,2.0442601684210526,2.128957847368421
0.28,1.9303022421052631,2.112833034736842,2.213045667368421,2.230781145263158
0.29,1.9759447368421053,2.1075290991578948,2.32726904,2.410486265263158
0.03,0.5009588189473684,0.44682984315789476,0.43287067429473686,0.33534742947368423
0.3,2.1647024610526318,2.2880608063157895,2.3409822968421055,2.5224358515789476
0.31,2.114448427368421,2.101546764,2.5347952452631577,2.7404939410526317
0.32,2.3763208736842105,2.5896701336842107,2.2998734389473685,2.497421827368421
0.33,2.4957594831578946,2.6296098340421055,2.33882512,2.697314947368421
0.34,2.4594085410526314,2.5284069729473684,2.908876242105263,3.295637477894737
0.35000000000000003,2.6191014947368423,2.929171101052632,2.4534495789473683,2.6978283034736843
0.36,3.0633756747404846,3.497285937716263,3.380444671280277,4.42531321799308
0.37,3.7296581363636365,9.953683909545454,2.751186,3.5553038727272726
0.38,4.694513294117647,-Inf,3.715443058823529,7.623818835714285
0.39,5.322657777777778,-956880588235294100,5.756785555555556,Inf
0.04,0.5291778031578948,0.47491739052631576,0.5451251221052632,0.4316811347368421
0.4,2.974022922705314,Inf,2.7148736763285024,Inf
0.41000000000000003,6.71636,80.43105,6.653544999999999,50.8399
0.42,6.821023333333334,22.91448,6.693483333333334,-Inf
0.43,4.225125583333333,5.630409116666667,3.919518083333333,4.311810483333334
0.44,NA,NA,NA,NA
0.45,NA,NA,NA,NA
0.46,NA,NA,NA,NA
0.47000000000000003,NA,NA,NA,NA
0.48,NA,NA,NA,NA
0.49,8.335605,-94.8544,7.04418,-Inf
0.05,0.5791618989473685,0.49126385368421055,0.587332892631579,0.47800806842105265
0.5,NA,NA,NA,NA
0.51,NA,NA,NA,NA
0.52,NA,NA,NA,NA
0.53,NA,NA,NA,NA
0.54,NA,NA,NA,NA
0.55,NA,NA,NA,NA
0.56,NA,NA,NA,NA
0.5700000000000001,NA,NA,NA,NA
0.58,NA,NA,NA,NA
0.59,NA,NA,NA,NA
0.06,0.6497461484210526,0.6105017894736842,0.6760675094736842,0.5539927021052632
0.6,NA,NA,NA,NA
0.61,NA,NA,NA,NA
0.62,NA,NA,NA,NA
0.63,NA,NA,NA,NA
0.64,NA,NA,NA,NA
0.65,NA,NA,NA,NA
0.66,NA,NA,NA,NA
0.67,NA,NA,NA,NA
0.68,NA,NA,NA,NA
0.6900000000000001,NA,NA,NA,NA
0.07,0.6776037947368421,0.6385732042105263,0.819803045263158,0.676189627368421
0.7000000000000001,NA,NA,NA,NA
0.71,NA,NA,NA,NA
0.72,NA,NA,NA,NA
0.73,NA,NA,NA,NA
0.74,NA,NA,NA,NA
0.75,NA,NA,NA,NA
0.76,NA,NA,NA,NA
0.77,NA,NA,NA,NA
0.78,NA,NA,NA,NA
0.79,NA,NA,NA,NA
0.08,0.7873036852631579,0.7229655168421053,0.7820804557894737,0.70303398
0.8,NA,NA,NA,NA
0.81,NA,NA,NA,NA
0.8200000000000001,NA,NA,NA,NA
0.8300000000000001,NA,NA,NA,NA
0.84,NA,NA,NA,NA
0.85,NA,NA,NA,NA
0.86,NA,NA,NA,NA
0.87,NA,NA,NA,NA
0.88,NA,NA,NA,NA
0.89,NA,NA,NA,NA
0.09,0.8452724810526315,0.813276527368421,0.7926739978947368,0.7370981105263158
0.9,NA,NA,NA,NA
0.91,NA,NA,NA,NA
0.92,NA,NA,NA,NA
0.93,NA,NA,NA,NA
0.9400000000000001,NA,NA,NA,NA
0.9500000000000001,NA,NA,NA,NA
0.96,NA,NA,NA,NA
0.97,NA,NA,NA,NA
0.98,NA,NA,NA,NA
0.99,NA,NA,NA,NA
