eta,avg_obsLagLarvae,avg_predLagLarvae,avg_obsLagAdults,avg_predLagAdults
0,-0.06627077511705264,0,-0.04578552429052631,0
0.01,0.5123057783578947,0.35687463505263156,0.26700003882315787,0.5297350094736842
0.1,1.2036251621052632,1.0916508986210527,0.931678167368421,2.683088244
1,NA,NA,NA,NA
0.11,1.4105537389473684,1.195402567368421,0.7769080305263157,2.1869850663157893
0.12,1.6951426757894736,1.425843952536842,0.9291430694736842,2.708793592631579
0.13,1.4398748715789473,1.3525358417210527,1.0523955736842106,3.0010464084210526
0.14,1.53662984,1.4751607155285262,1.0834655473684212,2.997037743157895
0.15,1.707672737894737,1.6132010417473683,1.10413858,3.232178915789474
0.16,1.8683461915789474,1.7573076410526316,1.0215312168421053,2.9140683042105264
0.17,1.6454425631578948,1.4957748425263158,1.1401314715789475,3.270155467368421
0.18,2.0171742105263157,1.9165618897894736,1.2893957968421053,3.8755857463157897
0.19,2.216223516,2.3646206177789475,1.2724333989473684,3.7692941754105265
0.02,0.3416860186063158,0.40917431915789476,0.4187318307368421,0.7627828989473684
0.2,1.9008236410526316,2.0102250497157894,1.4066573947368421,4.4533142854736845
0.21,2.270299076842105,2.0522651394736844,1.5754343642105264,5.260897816315789
0.22,2.1878669221052633,1.9734618508,1.5855886284210525,5.217341636736842
0.23,1.9662404229473684,1.6245853453052632,1.4308121168421053,4.709723495578947
0.24,2.7534988378378378,Inf,1.5570488085585585,-Inf
0.25,4.157064102564102,4455589743589760.5,2.792546153846154,-62368717948717936
0.26,2.7146869475894735,3.6300213028421053,1.7551267431578947,5.78618770431579
0.27,3.0206427252195733,Inf,1.7106284680050188,Inf
0.28,NA,NA,NA,NA
0.29,5.069420833333333,3.340003142857143,2.7014513055555556,-Inf
0.03,0.3864815432736842,0.26371735571263155,0.49657209883157893,1.1966835568421053
0.3,NA,NA,NA,NA
0.31,6.324225,Inf,2.8982349999999997,Inf
0.32,NA,NA,NA,NA
0.33,1.91908305,6.061175749999999,3.423765,23.8386595
0.34,NA,NA,NA,NA
0.35000000000000003,NA,NA,NA,NA
0.36,NA,NA,NA,NA
0.37,NA,NA,NA,NA
0.38,NA,NA,NA,NA
0.39,NA,NA,NA,NA
0.04,0.7019111164210526,0.6747386979,0.574884192631579,1.4065613821052632
0.4,NA,NA,NA,NA
0.41000000000000003,NA,NA,NA,NA
0.42,NA,NA,NA,NA
0.43,NA,NA,NA,NA
0.44,NA,NA,NA,NA
0.45,NA,NA,NA,NA
0.46,NA,NA,NA,NA
0.47000000000000003,NA,NA,NA,NA
0.48,NA,NA,NA,NA
0.49,NA,NA,NA,NA
0.05,0.7644584359368422,0.7115860861421053,0.5337406,1.3575567873684211
0.5,NA,NA,NA,NA
0.51,NA,NA,NA,NA
0.52,NA,NA,NA,NA
0.53,NA,NA,NA,NA
0.54,NA,NA,NA,NA
0.55,NA,NA,NA,NA
0.56,NA,NA,NA,NA
0.5700000000000001,NA,NA,NA,NA
0.58,NA,NA,NA,NA
0.59,NA,NA,NA,NA
0.06,0.7432021823157895,0.6971593234526315,0.6400316652631579,1.5554890357894737
0.6,NA,NA,NA,NA
0.61,NA,NA,NA,NA
0.62,NA,NA,NA,NA
0.63,NA,NA,NA,NA
0.64,NA,NA,NA,NA
0.65,NA,NA,NA,NA
0.66,NA,NA,NA,NA
0.67,NA,NA,NA,NA
0.68,NA,NA,NA,NA
0.6900000000000001,NA,NA,NA,NA
0.07,0.9526832663157895,0.8331480548421053,0.7203398315789473,1.8534470263157894
0.7000000000000001,NA,NA,NA,NA
0.71,NA,NA,NA,NA
0.72,NA,NA,NA,NA
0.73,NA,NA,NA,NA
0.74,NA,NA,NA,NA
0.75,NA,NA,NA,NA
0.76,NA,NA,NA,NA
0.77,NA,NA,NA,NA
0.78,NA,NA,NA,NA
0.79,NA,NA,NA,NA
0.08,0.8302891508421053,0.6946459368736843,0.7292143147368421,1.984365052631579
0.8,NA,NA,NA,NA
0.81,NA,NA,NA,NA
0.8200000000000001,NA,NA,NA,NA
0.8300000000000001,NA,NA,NA,NA
0.84,NA,NA,NA,NA
0.85,NA,NA,NA,NA
0.86,NA,NA,NA,NA
0.87,NA,NA,NA,NA
0.88,NA,NA,NA,NA
0.89,NA,NA,NA,NA
0.09,1.1037683494736843,1.0074425316842106,0.7386715947368421,1.9362164105263158
0.9,NA,NA,NA,NA
0.91,NA,NA,NA,NA
0.92,NA,NA,NA,NA
0.93,NA,NA,NA,NA
0.9400000000000001,NA,NA,NA,NA
0.9500000000000001,NA,NA,NA,NA
0.96,NA,NA,NA,NA
0.97,NA,NA,NA,NA
0.98,NA,NA,NA,NA
0.99,NA,NA,NA,NA
