eta,avg_obsLagLarvae,avg_predLagLarvae,avg_obsLagAdults,avg_predLagAdults
0,-0.09965372760947369,0,-0.02986718702526316,0
0.01,0.47175156995789475,0.552017194631579,0.34414444,0.8496460905263158
0.1,3.1746806315789473,3.7045082251157893,1.4584071568421053,4.849204568421053
1,NA,NA,NA,NA
0.11,3.628737452631579,4.243468245789473,1.4817091978947368,5.359076037894737
0.12,4.075938431372549,7.8514696653594775,2.0319255555555555,8.58361339869281
0.13,3.2188638333333333,8.906199897435897,2.5838528205128206,17.145749487179486
0.14,4.647776160714286,6.561856964285714,2.102045330357143,9.394066517857143
0.15,NA,NA,NA,NA
0.16,5.2096350000000005,-Inf,2.6584953125,-Inf
0.17,4.179014054054054,27.729451666666666,2.3936375675675676,-Inf
0.18,NA,NA,NA,NA
0.19,NA,NA,NA,NA
0.02,0.5186405267473684,0.5739925273684211,0.5006855831578947,1.1025177136842106
0.2,5.955858793103448,Inf,2.2336337931034485,NA
0.21,NA,NA,NA,NA
0.22,4.523716964285715,8.124778551785715,2.281729285714286,17.747041607142858
0.23,7.51588,9.05692,2.24954,14.7431
0.24,NA,NA,NA,NA
0.25,NA,NA,NA,NA
0.26,NA,NA,NA,NA
0.27,NA,NA,NA,NA
0.28,NA,NA,NA,NA
0.29,NA,NA,NA,NA
0.03,0.8105730336842105,0.9545587484210526,0.589090552631579,1.4645937968421052
0.3,NA,NA,NA,NA
0.31,NA,NA,NA,NA
0.32,NA,NA,NA,NA
0.33,NA,NA,NA,NA
0.34,NA,NA,NA,NA
0.35000000000000003,NA,NA,NA,NA
0.36,NA,NA,NA,NA
0.37,NA,NA,NA,NA
0.38,NA,NA,NA,NA
0.39,NA,NA,NA,NA
0.04,1.050903317894737,1.094510627368421,0.7761720578947369,1.9802647831578948
0.4,NA,NA,NA,NA
0.41000000000000003,NA,NA,NA,NA
0.42,NA,NA,NA,NA
0.43,NA,NA,NA,NA
0.44,NA,NA,NA,NA
0.45,NA,NA,NA,NA
0.46,NA,NA,NA,NA
0.47000000000000003,NA,NA,NA,NA
0.48,NA,NA,NA,NA
0.49,NA,NA,NA,NA
0.05,1.4238318989473684,1.551785727368421,0.7621394158947369,2.0973552168421055
0.5,NA,NA,NA,NA
0.51,NA,NA,NA,NA
0.52,NA,NA,NA,NA
0.53,NA,NA,NA,NA
0.54,NA,NA,NA,NA
0.55,NA,NA,NA,NA
0.56,NA,NA,NA,NA
0.5700000000000001,NA,NA,NA,NA
0.58,NA,NA,NA,NA
0.59,NA,NA,NA,NA
0.06,1.8738188810526315,1.9732983789473684,0.9893146557894736,2.8608989063157892
0.6,NA,NA,NA,NA
0.61,NA,NA,NA,NA
0.62,NA,NA,NA,NA
0.63,NA,NA,NA,NA
0.64,NA,NA,NA,NA
0.65,NA,NA,NA,NA
0.66,NA,NA,NA,NA
0.67,NA,NA,NA,NA
0.68,NA,NA,NA,NA
0.6900000000000001,NA,NA,NA,NA
0.07,1.626002174736842,1.6604996700736843,1.0257461357894737,3.007778583157895
0.7000000000000001,NA,NA,NA,NA
0.71,NA,NA,NA,NA
0.72,NA,NA,NA,NA
0.73,NA,NA,NA,NA
0.74,NA,NA,NA,NA
0.75,NA,NA,NA,NA
0.76,NA,NA,NA,NA
0.77,NA,NA,NA,NA
0.78,NA,NA,NA,NA
0.79,NA,NA,NA,NA
0.08,2.289446752631579,2.692604750526316,1.1515605926315788,3.489235930526316
0.8,NA,NA,NA,NA
0.81,NA,NA,NA,NA
0.8200000000000001,NA,NA,NA,NA
0.8300000000000001,NA,NA,NA,NA
0.84,NA,NA,NA,NA
0.85,NA,NA,NA,NA
0.86,NA,NA,NA,NA
0.87,NA,NA,NA,NA
0.88,NA,NA,NA,NA
0.89,NA,NA,NA,NA
0.09,2.0805054536842107,2.2566531316105265,1.2671322242105263,3.619027512631579
0.9,NA,NA,NA,NA
0.91,NA,NA,NA,NA
0.92,NA,NA,NA,NA
0.93,NA,NA,NA,NA
0.9400000000000001,NA,NA,NA,NA
0.9500000000000001,NA,NA,NA,NA
0.96,NA,NA,NA,NA
0.97,NA,NA,NA,NA
0.98,NA,NA,NA,NA
0.99,NA,NA,NA,NA
