tick	obsLagLarvae	predLagLarvae	obsLagAdults	predLagAdults

4	0.00695183	-1.06188e+19	0.00352941	4.08258e+36

6	0.0127272	-4.94054	0.00371098	149.218

8	-0.000670476	72.4634	-0.0121223	17.2273

10	0.0172615	27.9651	0.00382717	100.868

12	-0.00110853	29.854	-0.0041924	38.3577

14	0.00104387	15.5568	0.00414419	44.0408

16	-0.0157895	32.5515	-0.00238857	98.0922

18	-0.019849	43.6952	-0.000716387	52.1847

20	-0.0149118	23.8305	0.0144088	34.3304

22	-0.022857	23.8109	0.0134362	50.9352

24	-0.0104028	29.4964	0.0088956	32.5267

26	-0.0306483	14.054	0.000993108	40.7609

28	-0.00564141	22.3461	-0.00211555	29.819

30	0.00355454	20.4235	0.00255052	49.8883

32	0.0136549	15.4037	0.000594636	61.0798

34	0.00699218	20.111	-0.0149968	21.7715

36	-0.00838517	21.1588	-0.0201002	23.5905

38	-0.0189127	9.55912	-0.0177649	33.3185

40	0.00320451	19.1168	-0.0261979	36.7499

42	-0.00398665	18.0855	-0.0317731	28.7938

44	0.0226856	14.7671	-0.00820472	31.2124

46	0.0208387	17.0169	-0.0109765	27.7492

48	-0.00366527	12.9748	0.00223121	26.2979

50	0.0146784	4.99373	0.0150687	23.7227

52	0.019049	12.294	-0.00640604	10.8242

54	-0.00435842	5.60682	0.0202215	9.59492

56	0.0314923	9.21679	-0.0243513	4.44498

58	0.0046117	4.39392	0.0112877	10.365

60	0.00370386	0.602751	-0.0212687	11.9524

62	-0.000688967	1.97224	-0.0232083	11.0813

64	0.0071909	8.52401	-0.0382157	5.12481

66	-0.00227029	3.26767	-0.00998875	11.5365

68	0.00507521	15.2446	0.00214493	9.52347

70	0.016414	11.9147	-0.0235262	16.0043

72	0.000620561	8.22653	0.00862287	17.312

74	0.001935	15.3629	0.00857039	4.92618

76	0.0201487	2.38122	0.0202781	20.0036

78	0.0365451	12.964	0.029407	10.9207

80	-0.0138119	15.4873	0.0261057	8.72738

82	0.00222015	1.75108	-0.000535202	23.85

84	-0.0206985	8.99943	0.0139526	14.8005

86	-0.012347	7.66563	-0.0114396	15.1134

88	-0.0248756	8.72748	-0.0237098	8.31908

90	-0.0287376	12.7959	-0.0266086	9.3855

92	-0.0352668	12.2027	-0.0165623	7.86451

94	-0.0227332	11.2907	-0.0175221	11.171

96	-0.0242371	11.4237	-0.0146909	13.7383

98	-0.0238079	8.33574	-0.00883007	14.7288

100	-0.0418732	8.45048	-0.0165687	13.1605

102	-0.00990813	8.82685	-0.0359575	10.6805

104	-0.0142453	8.73935	-0.0165338	10.5188

106	0.0157586	9.11121	-0.0152715	12.308

108	0.0196635	7.79098	-0.00451852	10.4897

110	0.0149624	9.49136	-0.0170575	10.013

112	0.00465464	8.57058	-0.0348067	9.51979

114	0.00834918	8.91266	-0.0338453	11.6283

116	-0.0107287	14.0684	-0.0404099	9.19443

118	0.0273572	8.1675	-0.0333356	9.47998

120	0.0128092	12.7678	-0.0156131	6.51395

