tick	obsLagLarvae	predLagLarvae	obsLagAdults	predLagAdults

4	-0.00215924	-3.56682e+20	0.00352941	3.47727e+38

6	-0.0113374	234.341	0.00137583	1326.89

8	-0.00182477	884.476	0.00465206	589.367

10	0.0129501	324.453	0.00273776	1349.48

12	0.00371068	996.435	0.00872663	316.195

14	0.00746405	214.357	0.00628129	429.065

16	0.0110997	501.059	0.0025299	469.144

18	0.0152938	73.5746	0.0158941	771.086

20	0.0104827	209.171	0.0122706	627.115

22	0.010456	178.094	-0.00320722	343.356

24	0.00724272	331.234	-0.00134998	465.063

26	-0.0158094	223.106	0.00593801	239.632

28	0.00221526	370.317	0.0159254	114.976

30	-0.000582766	255.612	-0.00211627	245.86

32	0.0185244	308.789	0.0166916	230.892

34	0.00457237	231.571	0.0120262	322.787

36	-0.0131352	368.786	0.0155416	336.898

38	0.0291361	233.596	-0.0206874	237.942

40	-0.000620352	297.449	-0.013646	320.113

42	0.0326192	390.345	0.0109031	247.631

44	0.0182617	173.874	-0.000965481	419.901

46	0.0255037	199.207	-0.0104715	228.128

48	0.0259028	397.172	-0.0205515	142.647

50	0.0207932	208.509	-0.0157422	287.532

52	0.0339966	420.746	-0.0296397	144.435

54	0.0338628	381.901	-0.00409366	101.575

56	0.0359537	274.091	-0.023507	180.317

58	0.0276465	313.621	-0.0346544	209.27

60	0.0281177	272.017	-0.016501	350.261

62	0.0107684	200.447	-0.0260904	233.243

64	0.0306334	292.641	-0.0120461	278.88

66	-0.0001871	327.403	-0.00721722	344.248

68	0.0218495	222.871	-0.00645638	360.868

70	0.0174649	182.354	-0.00729407	448.807

72	0.013152	125.221	-0.0244041	304.424

74	0.00408099	234.7	-0.0140654	225.981

76	0.0126835	146.801	-0.0248786	249.355

78	0.00715627	172.189	0.00453789	320.617

80	0.00630036	220.456	0.00808329	257.694

82	0.0154411	254.735	0.0299233	363.197

84	0.00206495	151.648	0.0187878	352.241

86	0.0131082	198.845	0.0150788	265.657

88	0.0387659	179.59	0.0380905	191.32

90	0.0409025	166.656	0.0580818	187.692

92	0.0354743	132.417	0.0426423	319.709

94	0.0240125	118.925	0.0390422	332.759

96	0.0435855	71.971	0.0301368	314.738

98	0.0251787	133.839	0.0511558	206.874

100	0.0369487	125.265	0.0311756	237.872

102	-0.00623034	267.021	0.0594419	143.673

104	0.0387566	76.6787	0.0515733	189.584

106	0.0159074	177.892	0.0741149	113.678

108	0.0440986	159.464	0.0706873	109.517

110	0.0480998	101.466	0.0435129	157.545

112	0.0310318	89.6335	0.042118	211.937

114	0.0605704	114.147	0.0304185	117.197

116	0.0392592	96.4907	0.0335537	193.904

118	0.0430013	84.9881	0.0327219	205.684

120	0.038337	59.5677	0.0191188	187.505

122	0.0288368	120.501	0.0175203	146.723

124	0.0581737	42.7561	-0.0233505	178.792

126	0.0414986	113.181	0.0177998	115.543

128	0.0269341	21.7495	0.0225984	285.095

130	0.0563367	-31.4475	0.00619128	298.142

132	0.0294238	-4.44068	-0.0162152	393.399

134	0.0521757	-0.477244	-0.0217272	281.663

136	0.0425308	47.0053	-0.016311	260.632

138	0.0763769	14.5861	-0.00443013	259.15

140	0.0619122	24.6545	-0.0188586	281.5

142	0.0449611	38.9681	0.0239858	368.474

144	0.0914689	9.50327	0.00224556	248.997

146	0.0450154	48.6126	0.00473961	215.895

148	0.060652	63.4696	0.0152365	149.381

150	0.0416069	37.2305	0.0149296	280.17

152	0.083935	33.0992	0.00301978	160.591

154	0.0341095	50.9447	0.0345186	159.418

156	0.0164181	42.3385	0.00323333	171.214

158	0.0189339	49.2774	0.0178826	140.937

160	-0.0345201	71.9639	0.015759	123.402

162	-0.00579609	95.4412	0.0210307	121.717

164	-0.00961483	130.987	-0.00434808	113.423

166	0.0221322	69.2625	0.0392423	134.901

168	0.0460721	54.4406	0.0262714	146.663

170	0.0439394	96.6772	0.0404298	127.255

172	0.036419	100.373	0.0380265	181.487

174	0.0226286	107.017	0.0316751	137.194

176	0.0134444	123.969	0.0603731	113.034

178	0.00709005	140.249	0.0264623	92.4409

180	0.0216538	197.774	0.0306418	109.026

182	0.0125045	223.628	0.0264913	202.524

184	0.014446	190.964	0.0220421	212.649

186	0.0160961	252.402	0.051035	149.99

188	0.00892536	173.414	0.0512578	204.954

190	0.00751154	161.461	0.0323347	214.112

192	-0.000392123	396.401	0.0186509	126.342

194	0.0223714	247.515	0.0376368	201.081

196	0.021858	364.313	0.0283192	291.785

198	0.000140226	205.933	0.0401176	217.021

200	0.0295761	300.547	0.0410409	247.328

202	0.0246997	87.3857	0.0259569	328.374

204	0.00980608	370.297	0.0115074	177.225

206	0.000588674	210.467	0.0116757	213.425

208	0.000878397	175.531	0.00209662	232.546

210	0.0185395	497.431	-0.0103817	45.6117

212	0.0202682	372.266	0.00826818	202.481

214	0.00956245	394.523	0.0270148	129.936

216	0.0330367	207.923	0.0147508	143.285

218	0.0276101	271.644	0.0312267	110.789

220	0.0320673	320.506	0.0450586	89.0329

222	0.0339424	343.811	0.0481724	193.754

224	0.0124815	335.133	0.0543502	138.574

226	-0.00478354	153.446	0.0442295	182.932

228	0.00856408	201.04	0.0572065	217.257

230	0.00362952	189.319	0.060623	160.821

232	-0.00904415	165.317	0.0331353	196.206

234	-0.00845551	163.632	0.0423248	243.929

236	-0.00418038	207.868	0.0290018	223.945

238	-0.0101594	125.556	0.0359772	211.283

240	-0.000258726	268.907	0.0164399	173.308

242	-0.00771748	190.02	0.0158607	338.1

244	0.0244953	453.446	0.0196717	182.416

246	-0.00822796	254.466	0.0318602	344.132

248	0.0197365	390.335	0.0293881	188.793

250	0.019518	445.633	0.0221849	258.23

252	0.0128576	332.205	0.0398182	208.318

254	0.00963414	286.616	0.0315829	190.007

256	0.00373367	196.819	0.0534188	143.642

258	0.00477391	178.135	0.0406181	162.369

260	0.00574973	169.833	0.0616067	154.835

262	0.0156729	170.12	0.0407668	298.413

264	-0.00571706	204.814	0.0484236	240.375

266	0.0071184	117.126	0.0554148	242.903

268	-0.00876178	242.402	0.039818	203.595

270	0.0439695	38.692	0.0386481	369.893

272	0.00589757	104.062	0.0626676	193.56

274	-0.0204821	106.358	0.0374369	230.063

276	-0.00371904	204.242	0.0495881	128.911

278	-0.00191295	86.825	0.0672697	190.534

280	-0.0140057	90.6327	0.0361334	259.015

282	-0.0234966	55.5348	0.029493	236.896

284	-0.0223551	152.736	0.0537058	254.771

286	0.00689112	138.093	0.0519546	221.71

288	-0.0191863	117.623	0.0652566	189.905

290	-0.00629719	141.251	0.0544763	134.959

292	-0.03193	42.9672	0.104208	181.474

294	-0.00762455	65.5925	0.0646021	154.592

296	0.00596258	55.5299	0.0767664	137.288

298	-0.0113842	77.0028	0.0701616	232.019

300	0.0107225	56.1629	0.0714667	194.486

302	0.0356561	65.5587	0.0841788	239.363

304	0.0415893	55.5745	0.0772446	255.886

306	0.0328805	67.3712	0.0898082	193.258

308	0.0400348	44.3247	0.102039	210.402

310	-0.00798343	51.594	0.0895904	214.309

312	-0.00198246	145.483	0.0808367	133.395

314	-0.016032	105.543	0.0713791	143.491

316	0.00334203	101.629	0.0735036	166.958

318	-0.0449298	120.711	0.07253	167.735

320	-0.0409834	48.8903	0.0427986	234.415

322	-0.0449054	107.777	0.0645617	151.251

324	-0.0235218	126.959	0.0727941	182.997

