tick	obsLagLarvae	predLagLarvae	obsLagAdults	predLagAdults

4	0.000627395	2.59843e+20	0.00352941	5.79331e+37

6	0.00689215	1818.68	0.00400195	4036.62

8	-0.00491648	1588.12	0.00758166	2990.09

10	-0.004261	2070.93	-0.00498299	4078.93

12	0.0014667	1885.33	-0.000979831	1415.44

14	0.0166845	2857.14	0.00850252	3593.5

16	0.0194603	1055.35	-0.0117606	1664.28

18	0.00554689	882.827	0.00767521	906.503

20	0.0126227	617.009	0.00269678	1161.62

22	0.0137747	778.476	0.0088112	1184.79

24	0.0111497	712.556	0.0150265	1053.2

26	-0.0211109	910.316	-0.00354987	1792.93

28	-0.0127097	1224.88	0.0218314	1043.33

30	-0.00460645	962.848	0.000265765	1680.27

32	-0.022759	1015.12	0.00243371	862.579

34	0.00575946	765.35	0.0233641	865.195

36	-0.021281	625.053	0.0189954	976.61

38	-0.00844729	918.613	0.02745	862.653

40	-0.0486732	755.744	0.00884207	700.455

42	0.000871808	1041.12	0.0521387	925.673

44	-0.0113237	737.305	0.0134021	578.449

46	-0.0426197	542.04	0.00763131	448.978

48	-0.0408926	784.77	0.0197889	646.835

50	-0.00947392	1004.32	0.0234694	756.629

52	-0.0494998	616.443	0.0199297	634.823

54	-0.0308024	591.451	-0.00433222	610.401

56	-0.0248313	695.533	0.0139126	434.904

58	-0.0439778	612.07	0.0123751	609.954

60	-0.0444221	551.55	0.0060538	537.041

62	-0.0382001	506.068	0.0214834	506.581

64	-0.0140602	832.762	-0.00668437	1019.8

66	-0.00352267	939.243	0.0300673	632.978

68	-0.00182103	728.638	-0.0064552	666.062

70	0.00845688	635.36	0.0190102	594.447

72	0.00362899	721.798	0.0127528	779.797

74	0.0116493	835.225	-0.00289827	601.539

76	0.00352796	525.551	0.023852	699.432

78	-0.0120181	894.403	-0.00196995	750.027

80	-0.00913726	749.496	0.000291419	794.235

82	-0.0289308	745.637	0.0275754	1144.52

84	-0.0326597	577.805	-0.000142571	726.923

86	-0.0224373	478.567	0.0160123	570.185

88	-0.0371406	433.555	0.0315646	630.588

90	-0.0124284	566.63	0.0243063	576.63

92	-0.0352795	486.171	0.00609916	544.546

94	-0.0237385	554.497	-0.007589	571.231

96	-0.0405003	448.117	-0.00613163	614.963

98	-0.0359962	443.2	-0.0041961	479.18

100	-0.0270428	842.55	0.0226454	758.053

102	-0.0256326	503.895	-0.00949983	659.03

104	-0.00374939	414.369	-0.0132316	506.283

106	-0.0196848	307.677	-0.0345886	336.898

108	-0.0303171	381.305	-0.0507621	380.98

110	-0.00439036	377.587	-0.0120169	365.048

112	-0.0152596	348.071	-0.030402	381.509

114	-0.021313	478.561	-0.0332125	307.293

116	-0.0545728	318.74	-0.0611234	342.472

118	-0.0322354	298.464	-0.0666442	283.711

120	-0.0223869	449.56	-0.0664025	339.545

122	-0.0261412	311.053	-0.0414083	323.051

124	-0.0361651	209.048	-0.055825	250.522

126	-0.0111507	281.299	-0.0272053	327.164

128	-0.00661919	270.514	-0.0489495	230.16

130	0.00792004	461.992	-0.0441826	402.315

132	-0.016353	278.641	-0.061122	257.786

134	-0.0130916	310.996	-0.0250678	404.156

